Word,cgram,freqfilms2,islem,puorth
buggy,NOM,0.28,1,4
bugle,NOM,0.06,1,5
bugne,NOM,0.01,1,5
bugne,VER,0.01,0,0
bulbe,NOM,0.31,1,5
bulge,NOM,0.02,1,5
bulla,VER,0,0,0
bulle,NOM,2.99,1,5
bulle,VER,0.21,0,5
bulls,NOM,0.43,0,0
bulot,NOM,0.01,1,4
burin,NOM,0.57,1,5
burne,NOM,0.09,1,5
buses,NOM,0.46,0,0
bushi,NOM,0.01,1,5
busse,VER,0,0,0
buste,NOM,2.02,1,5
butai,VER,0,0,0
buter,VER,12.89,1,5
butes,VER,0.5,0,0
butez,VER,0.73,0,0
butin,NOM,6.27,1,5
butor,NOM,0.27,1,5
butte,NOM,1.17,1,5
butte,VER,0.32,0,5
butte,VER,0.16,0,0
butee,VER,0.49,0,5
butee,ADJ,0.17,0,5
butee,NOM,0.06,1,5
butes,VER,0.34,0,0
butes,ADJ,0.05,0,0
buvez,VER,25.24,0,0
buees,NOM,0,0,0
bytes,NOM,0.09,0,0
bache,NOM,2.3,1,5
bache,VER,0.01,0,5
bache,VER,0.01,0,5
bache,ADJ,0.01,1,5
bacla,VER,0,0,0
bacle,VER,0.17,0,0
bacle,VER,0.82,0,0
bafra,VER,0,0,0
bafre,VER,0.16,0,0
bafre,VER,0.11,0,0
bater,VER,0.14,1,4
batie,ADJ,0.17,0,0
